timestamp,demand
2012-08-02,9396010.0
2012-08-03,9269524.0
2012-08-04,8414800.0
2012-08-05,8392122.0
2012-08-06,9517389.0
2012-08-07,9608740.0
2012-08-08,9684204.0
2012-08-09,9605255.0
2012-08-10,9436395.0
2012-08-11,8347118.0
2012-08-12,8248641.0
2012-08-13,9694878.0
2012-08-14,9793958.0
2012-08-15,9746216.0
2012-08-16,9249061.0
2012-08-17,9572638.0
2012-08-18,8683147.0
2012-08-19,8593848.0
2012-08-20,10090597.0
2012-08-21,10137255.0
2012-08-22,9519596.0
2012-08-23,9788618.0
2012-08-24,9521898.0
2012-08-25,8490806.0
2012-08-26,8085301.0
2012-08-27,8435027.0
2012-08-28,9482609.0
2012-08-29,9810766.0
2012-08-30,9724407.0
2012-08-31,9570213.0
2012-09-01,8501663.0
2012-09-02,8503689.0
2012-09-03,9680395.0
2012-09-04,9897613.0
2012-09-05,9785182.0
2012-09-06,9707764.0
2012-09-07,9507309.0
2012-09-08,8616847.0
2012-09-09,8252798.0
2012-09-10,9732138.0
2012-09-11,9807489.0
2012-09-12,9956473.0
2012-09-13,9836744.0
2012-09-14,9483064.0
2012-09-15,8557999.0
2012-09-16,8409693.0
2012-09-17,9701998.0
2012-09-18,9855663.0
2012-09-19,10061404.0
2012-09-20,10254974.0
2012-09-21,10145746.0
2012-09-22,9022922.0
2012-09-23,9006282.0
2012-09-24,10718540.0
2012-09-25,11252723.0
2012-09-26,10638718.0
2012-09-27,10877155.0
2012-09-28,10114117.0
2012-09-29,8950971.0
2012-09-30,8847693.0
2012-10-01,10227944.0
2012-10-02,10359930.0
2012-10-03,10376995.0
2012-10-04,10478835.0
2012-10-05,9974945.0
2012-10-06,9347242.0
2012-10-07,9198157.0
2012-10-08,10714277.0
2012-10-09,10899508.0
2012-10-10,10872819.0
2012-10-11,10828511.0
2012-10-12,10287471.0
2012-10-13,9496565.0
2012-10-14,9359750.0
2012-10-15,10829467.0
2012-10-16,10706724.0
2012-10-17,10686693.0
2012-10-18,10705872.0
2012-10-19,10801873.0
2012-10-20,9671866.0
2012-10-21,9489449.0
2012-10-22,10985094.0
2012-10-23,10516259.0
2012-10-24,10940755.0
2012-10-25,10959851.0
2012-10-26,10949196.0
2012-10-27,10090463.0
2012-10-28,10031519.0
2012-10-29,11322890.0
2012-10-30,11417887.0
2012-10-31,11283578.0
2012-11-01,11392624.0
2012-11-02,11183599.0
2012-11-03,10432969.0
2012-11-04,10473063.0
2012-11-05,11682142.0
2012-11-06,11900415.0
2012-11-07,11586528.0
2012-11-08,11741437.0
2012-11-09,11233187.0
2012-11-10,10309632.0
2012-11-11,10210115.0
2012-11-12,11630202.0
2012-11-13,11367117.0
2012-11-14,11432396.0
2012-11-15,11670256.0
2012-11-16,11558654.0
2012-11-17,10351935.0
2012-11-18,10296247.0
2012-11-19,11570627.0
2012-11-20,11548226.0
2012-11-21,11879978.0
2012-11-22,11541966.0
2012-11-23,11500622.0
2012-11-24,10484778.0
2012-11-25,10348160.0
2012-11-26,11871872.0
2012-11-27,11974238.0
2012-11-28,10957937.0
2012-11-29,12509315.0
2012-11-30,12684236.0
2012-12-01,11462600.0
2012-12-02,11411189.0
2012-12-03,12447330.0
2012-12-04,12568513.0
2012-12-05,12868248.0
2012-12-06,12597868.0
2012-12-07,12583013.0
2012-12-08,11427163.0
2012-12-09,10825906.0
2012-12-10,12641081.0
2012-12-11,13358103.0
2012-12-12,12517271.0
2012-12-13,12517271.0
2012-12-14,12836429.0
2012-12-15,11182636.0
2012-12-16,10942171.0
